constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Normanton and Hemsworth,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515990291,102,140,64,24,90,84,466,489,
North Bedfordshire,7000.0,0.0,4750.0,45000.0,0.0,1065.0,0.0,0.0,0.0,0.0,0.478568756,443,447,452,405,431,420,155,308,
North Cornwall,46795.0,0.0,0.0,7720.87,0.0,0.0,0.0,0.0,0.0,0.0,0.480536507,196,232,201,217,280,511,56,25,
North Cotswolds,0.0,0.0,27111.05,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537613327,456,471,476,446,457,507,105,219,
North Devon,21000.0,0.0,3329.02,2815.0699999999997,0.0,1310.75,0.0,0.0,0.0,0.0,0.466783625,251,287,253,251,223,475,97,126,
North Dorset,4232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526810155,404,438,427,319,444,513,60,303,
North Durham,19500.0,0.0,1084.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534347689,156,126,87,186,92,189,489,526,
North East Cambridgeshire,37698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520735123,155,183,165,38,128,265,181,371,
North East Derbyshire,35000.0,0.0,423.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507956426,298,259,189,199,194,508,481,468,
North East Hampshire,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502208883,532,533,533,528,531,465,239,501,
North East Hertfordshire,0.0,0.0,56.23,1051.75,0.0,0.0,0.0,0.0,0.0,0.0,0.466498682,444,418,428,384,486,376,213,416,
North East Somerset and Hanham,63800.0,0.0,1559.68,7993.29,0.0,0.0,0.0,0.0,0.0,0.0,0.458359063,477,456,437,322,455,340,422,499,
North Herefordshire,75441.4,0.0,974.67,0.0,0.0,706.6,0.0,0.0,0.0,0.0,0.560874607,299,356,355,351,368,479,48,33,
North Norfolk,38150.69,0.0,702.0,12469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523272928,242,306,234,214,263,522,44,102,
North Northumberland,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567055647,280,305,199,241,251,399,205,395,
North Shropshire,26450.0,0.0,0.0,0.0,0.0,324.91,0.0,0.0,0.0,0.0,0.570718128,303,315,283,244,340,438,156,157,
North Somerset,6000.0,0.0,1143.94,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.48177158,518,509,487,476,446,421,320,509,
North Warwickshire and Bedworth,21000.0,0.0,0.0,7579.04,0.0,1290.0,0.0,0.0,0.0,0.0,0.525932569,265,283,248,140,244,241,331,225,
North West Cambridgeshire,0.0,0.0,1132.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49152943,270,276,286,207,240,218,128,369,
North West Essex,618674.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496173128,487,504,516,458,520,417,68,367,
North West Hampshire,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477045908,435,453,454,331,434,361,180,455,
